"306","Conference Halls"
"308","Outside Catering"
"309","Bars/Clubs"
"310","Restaurants"
"311","Guest Houses & Lodges"
"312","Apartments"
"313","Hostels"
"314","Camping"
"315","Cafes"
"316","National Parks"
"317","Safari Lodges"
"318","Tour Operators"
"319","Day Trips"
"320","Banks"
"321","Entertainment"
"322","Airliners"
"323","Auto - Hire & Rental"
"324","Auto - Repairs & Maintenance"
"325","Motor-Bicycle Dealers"
"384","Restaurants"
"362","Air Charter"
"364","Auto - Tyre Dealers"
"365","Auto - Parts & Accessories"
"367","Motor-Bicycle accessories"
"369","Guest Houses & Lodges"
"370","Hotels & Resorts"
"371","Luxury Suites"
